employee_id,period,month_of_work,year_of_work,hour_in_month,salary_per_month,fee_per_hour
1,202006,6,2020,37.0,7500000,202702.7
1,202005,5,2020,119.4,7500000,62814.07
1,202004,4,2020,131.3,7500000,57121.1
1,202003,3,2020,33.3,7500000,225225.23
1,202001,1,2020,56.0,7500000,133928.57
1,201912,12,2019,74.4,7500000,100806.45
1,201911,11,2019,38.7,7500000,193798.45
1,201910,10,2019,121.8,7500000,61576.35
7,201912,12,2019,9.5,7500000,789473.68
8,202003,3,2020,23.6,13000000,550847.46
8,202002,2,2020,33.2,13000000,391566.27
8,202001,1,2020,97.9,13000000,132788.56
8,201912,12,2019,69.2,13000000,187861.27
8,201911,11,2019,89.5,13000000,145251.4
8,201910,10,2019,123.3,13000000,105433.9
8,201909,9,2019,14.8,13000000,878378.38
9,202010,10,2020,45.4,13500000,297356.83
9,202009,9,2020,184.5,13500000,73170.73
9,202008,8,2020,173.5,13500000,77809.8
9,202007,7,2020,208.5,13500000,64748.2
9,202006,6,2020,202.9,13500000,66535.24
9,202005,5,2020,154.0,13500000,87662.34
9,202004,4,2020,216.3,13500000,62413.31
9,202003,3,2020,184.9,13500000,73012.44
9,202002,2,2020,144.7,13500000,93296.48
9,202001,1,2020,174.1,13500000,77541.64
9,201912,12,2019,153.9,13500000,87719.3
9,201911,11,2019,170.6,13500000,79132.47
9,201910,10,2019,124.1,13500000,108783.24
9,201909,9,2019,19.2,13500000,703125.0
10,202012,12,2020,47.5,9000000,189473.68
10,202011,11,2020,199.5,9000000,45112.78
10,202010,10,2020,190.0,9000000,47368.42
10,202009,9,2020,204.8,9000000,43945.31
10,202008,8,2020,168.6,9000000,53380.78
10,202007,7,2020,204.5,9000000,44009.78
10,202006,6,2020,192.3,9000000,46801.87
10,202005,5,2020,135.0,9000000,66666.67
10,202004,4,2020,189.5,9000000,47493.4
10,202003,3,2020,196.3,9000000,45848.19
10,202002,2,2020,171.6,9000000,52447.55
